id_movimento,data_emissao,data_vencimento,data_pagamento,tipo,categoria,centro_custo,entidade,forma_pagamento,valor_previsto,valor_realizado,status
MOV-00035,2024-12-22,2025-01-05,2025-01-05,Saída,Fornecedores,Marketing,Fornecedor 09,PIX,11179.1,11234.44,Pago
MOV-00036,2025-01-11,2025-01-28,2025-02-09,Saída,Pessoal,Comercial,Fornecedor 23,Cartão,14461.22,14209.66,Pago em atraso
MOV-00037,2024-12-29,2025-01-08,2025-01-05,Saída,Administrativo,Operações,Fornecedor 22,Cartão,9669.1,9890.38,Pago
MOV-00038,2025-01-13,2025-01-26,2025-01-23,Saída,Logística,Marketing,Fornecedor 03,Cartão,10963.92,11152.97,Pago
MOV-00039,2024-12-15,2025-01-15,2025-01-13,Saída,Fornecedores,Operações,Fornecedor 26,Transferência,10427.43,10254.08,Pago
MOV-00040,2024-12-29,2025-01-25,2025-01-26,Saída,Fornecedores,Tecnologia,Fornecedor 02,PIX,1984.45,2005.82,Pago
MOV-00041,2024-12-21,2025-01-19,2025-01-18,Saída,Logística,Marketing,Fornecedor 23,Transferência,4151.73,4036.71,Pago
MOV-00042,2025-01-09,2025-01-19,2025-01-14,Saída,Pessoal,Administrativo,Fornecedor 35,Boleto,7656.46,7752.37,Pago
MOV-00043,2024-12-23,2025-01-11,2025-01-07,Saída,Pessoal,Administrativo,Fornecedor 20,Cartão,13142.38,13315.67,Pago
MOV-00044,2024-12-23,2025-01-07,2025-01-08,Saída,Pessoal,Administrativo,Fornecedor 37,Transferência,12044.12,12172.26,Pago
MOV-00045,2024-12-14,2025-01-07,2025-01-07,Saída,Pessoal,Operações,Fornecedor 33,Cartão,9538.75,9518.71,Pago
MOV-00046,2024-12-24,2025-01-24,2025-01-20,Saída,Tecnologia,Administrativo,Fornecedor 22,PIX,12046.1,11889.83,Pago
MOV-00047,2025-01-11,2025-01-22,2025-01-20,Saída,Logística,Operações,Fornecedor 31,PIX,9687.86,9482.88,Pago
MOV-00048,2025-01-09,2025-01-23,2025-01-25,Saída,Pessoal,Comercial,Fornecedor 07,Cartão,12256.71,12182.91,Pago
MOV-00049,2025-01-10,2025-01-23,2025-01-18,Saída,Fornecedores,Marketing,Fornecedor 09,Cartão,10286.44,10321.87,Pago
MOV-00050,2024-12-18,2025-01-20,2025-01-22,Saída,Marketing,Administrativo,Fornecedor 28,Cartão,12363.18,12446.74,Pago
MOV-00051,2024-12-29,2025-01-16,2025-01-14,Saída,Logística,Administrativo,Fornecedor 32,Boleto,9603.31,9799.14,Pago
MOV-00052,2024-12-14,2025-01-10,2025-01-10,Saída,Fornecedores,Comercial,Fornecedor 09,Boleto,2075.56,2053.11,Pago
MOV-00053,2024-12-27,2025-01-23,2025-01-24,Saída,Fornecedores,Marketing,Fornecedor 27,PIX,9041.63,8991.5,Pago
MOV-00054,2024-12-22,2025-01-25,2025-01-20,Saída,Fornecedores,Administrativo,Fornecedor 25,Cartão,5947.62,6074.92,Pago
MOV-00055,2024-12-23,2025-01-25,2025-01-26,Saída,Fornecedores,Administrativo,Fornecedor 39,Boleto,5174.87,5186.74,Pago
MOV-00056,2024-12-20,2025-01-13,2025-01-14,Saída,Pessoal,Operações,Fornecedor 40,PIX,11356.42,11509.17,Pago
MOV-00057,2024-12-29,2025-01-22,2025-02-05,Saída,Logística,Operações,Fornecedor 04,Transferência,7888.39,7715.97,Pago em atraso
MOV-00058,2025-01-02,2025-01-25,2025-01-24,Saída,Pessoal,Tecnologia,Fornecedor 06,Cartão,9768.46,9916.16,Pago
MOV-00059,2024-12-13,2025-01-12,2025-01-08,Saída,Fornecedores,Comercial,Fornecedor 02,Boleto,7295.44,7418.54,Pago
MOV-00060,2024-12-08,2025-01-05,2025-01-07,Saída,Fornecedores,Operações,Fornecedor 30,Transferência,1430.29,1444.83,Pago
MOV-00061,2025-01-05,2025-01-20,2025-01-16,Saída,Tecnologia,Tecnologia,Fornecedor 07,PIX,3096.02,3147.62,Pago
MOV-00062,2024-12-12,2025-01-13,2025-01-11,Saída,Administrativo,Operações,Fornecedor 07,Transferência,7706.5,7510.45,Pago
MOV-00063,2024-12-12,2025-01-04,2024-12-30,Saída,Logística,Tecnologia,Fornecedor 05,Transferência,7984.65,7911.45,Pago
MOV-00064,2024-12-23,2025-01-16,2025-01-16,Saída,Fornecedores,Operações,Fornecedor 28,Boleto,5946.66,5995.04,Pago
MOV-00065,2024-12-07,2025-01-09,2025-01-11,Saída,Tecnologia,Administrativo,Fornecedor 18,Transferência,12109.85,12084.33,Pago
MOV-00066,2024-12-10,2025-01-03,2025-01-05,Saída,Logística,Administrativo,Fornecedor 40,Cartão,10587.26,10424.55,Pago
MOV-00067,2024-12-18,2025-01-16,2025-01-15,Saída,Pessoal,Tecnologia,Fornecedor 36,PIX,9750.14,9656.74,Pago
MOV-00068,2024-12-15,2025-01-14,2025-01-12,Saída,Pessoal,Marketing,Fornecedor 29,PIX,8913.56,9015.5,Pago
MOV-00069,2024-12-28,2025-01-23,2025-01-23,Saída,Fornecedores,Tecnologia,Fornecedor 28,Transferência,3704.04,3698.1,Pago
MOV-00070,2024-12-06,2025-01-08,2025-01-06,Saída,Pessoal,Administrativo,Fornecedor 45,Boleto,9566.23,9460.36,Pago
MOV-00071,2024-12-24,2025-01-09,2025-01-08,Saída,Fornecedores,Tecnologia,Fornecedor 15,Transferência,9546.23,9821.45,Pago
MOV-00072,2024-12-22,2025-01-18,2025-01-13,Saída,Fornecedores,Tecnologia,Fornecedor 45,Boleto,1359.88,1398.58,Pago
MOV-00073,2024-12-11,2025-01-04,2025-01-03,Saída,Marketing,Tecnologia,Fornecedor 12,PIX,9706.55,9688.73,Pago
MOV-00074,2024-12-07,2025-01-04,2025-01-05,Saída,Fornecedores,Comercial,Fornecedor 10,Boleto,10937.47,10932.05,Pago
MOV-00075,2024-12-11,2025-01-03,2024-12-30,Saída,Logística,Administrativo,Fornecedor 39,Boleto,11925.12,11966.67,Pago
MOV-00076,2024-12-17,2025-01-15,2025-01-16,Saída,Tecnologia,Comercial,Fornecedor 40,PIX,5498.27,5434.07,Pago
MOV-00077,2024-12-23,2025-01-07,2025-01-03,Saída,Administrativo,Administrativo,Fornecedor 05,Boleto,3548.0,3474.99,Pago
MOV-00078,2024-12-19,2025-01-20,2025-01-15,Saída,Fornecedores,Tecnologia,Fornecedor 45,Cartão,6290.69,6189.34,Pago
MOV-00079,2024-12-13,2025-01-09,2025-01-07,Saída,Fornecedores,Operações,Fornecedor 42,Boleto,3837.69,3820.45,Pago
MOV-00080,2024-12-06,2025-01-03,2025-01-13,Saída,Logística,Tecnologia,Fornecedor 29,PIX,10540.93,10601.04,Pago em atraso
MOV-00081,2025-01-15,2025-02-13,2025-02-15,Entrada,Vendas B2B,Comercial,Cliente 28,Transferência,8090.18,8059.97,Pago
MOV-00082,2025-01-08,2025-02-08,2025-02-03,Entrada,Assinaturas,Tecnologia,Cliente 37,PIX,3480.53,3584.86,Pago
MOV-00083,2025-01-20,2025-02-17,2025-02-16,Entrada,Assinaturas,Marketing,Cliente 41,Cartão,5954.56,5840.76,Pago
MOV-00084,2025-01-25,2025-02-14,2025-02-10,Entrada,Serviços,Marketing,Cliente 45,Cartão,10839.13,11071.78,Pago
MOV-00085,2025-02-07,2025-02-27,2025-02-22,Entrada,Vendas B2B,Tecnologia,Cliente 21,PIX,18711.97,18661.25,Pago
MOV-00086,2025-01-21,2025-02-17,2025-02-12,Entrada,Serviços,Marketing,Cliente 27,PIX,9748.37,9840.59,Pago
MOV-00087,2025-02-09,2025-02-25,2025-02-27,Entrada,Vendas B2B,Tecnologia,Cliente 36,Boleto,9045.96,9187.07,Pago
MOV-00088,2025-01-25,2025-02-23,2025-02-18,Entrada,Serviços,Operações,Cliente 11,Transferência,10310.71,10603.42,Pago
MOV-00089,2025-01-21,2025-02-03,2025-01-30,Entrada,Assinaturas,Operações,Cliente 32,Transferência,12201.7,12173.48,Pago
MOV-00090,2025-01-31,2025-02-27,2025-03-01,Entrada,Vendas B2B,Operações,Cliente 25,Boleto,7582.1,7465.52,Pago
MOV-00091,2025-01-13,2025-02-05,2025-02-04,Entrada,Serviços,Tecnologia,Cliente 33,Transferência,11472.54,11660.24,Pago
MOV-00092,2025-01-17,2025-02-10,2025-02-12,Entrada,Serviços,Administrativo,Cliente 31,Transferência,7738.08,7907.66,Pago
MOV-00093,2025-01-12,2025-02-13,2025-02-13,Entrada,Vendas B2B,Operações,Cliente 37,Cartão,15691.27,16039.24,Pago
MOV-00094,2024-12-29,2025-02-02,2025-02-04,Entrada,Vendas B2B,Marketing,Cliente 25,Boleto,15901.22,16097.02,Pago
MOV-00095,2025-01-24,2025-02-17,2025-02-17,Entrada,Vendas B2B,Comercial,Cliente 34,Cartão,3665.34,3746.64,Pago
MOV-00096,2025-01-24,2025-02-28,2025-02-25,Entrada,Vendas B2B,Tecnologia,Cliente 22,Cartão,5440.37,5301.58,Pago
MOV-00097,2025-01-29,2025-02-28,2025-03-01,Entrada,Assinaturas,Marketing,Cliente 35,PIX,17164.05,17631.74,Pago
MOV-00098,2025-01-30,2025-02-22,2025-02-20,Entrada,Assinaturas,Comercial,Cliente 41,PIX,6941.67,7044.45,Pago
MOV-00099,2025-01-11,2025-02-01,2025-02-03,Entrada,Vendas B2B,Marketing,Cliente 10,Boleto,14550.21,14369.82,Pago
MOV-00100,2025-02-04,2025-02-26,2025-02-23,Entrada,Assinaturas,Administrativo,Cliente 44,Boleto,12428.3,12114.34,Pago
MOV-00101,2025-01-08,2025-02-08,2025-02-07,Entrada,Vendas B2B,Comercial,Cliente 30,Transferência,12713.75,12682.91,Pago
MOV-00102,2025-01-23,2025-02-15,2025-02-14,Entrada,Assinaturas,Tecnologia,Cliente 30,Transferência,5669.34,5716.6,Pago
MOV-00103,2025-01-19,2025-02-16,2025-03-01,Entrada,Vendas B2B,Tecnologia,Cliente 45,Transferência,9425.6,9466.27,Pago em atraso
MOV-00104,2025-01-11,2025-02-13,2025-02-08,Entrada,Vendas B2B,Marketing,Cliente 19,Boleto,16804.06,17218.06,Pago
MOV-00105,2025-01-19,2025-02-21,2025-02-20,Entrada,Assinaturas,Operações,Cliente 41,PIX,8889.25,8984.06,Pago
MOV-00106,2025-01-08,2025-02-10,2025-02-05,Entrada,Serviços,Operações,Cliente 06,Transferência,13760.57,13826.27,Pago
MOV-00107,2025-01-17,2025-02-07,2025-02-25,Entrada,Vendas B2B,Administrativo,Cliente 33,Transferência,9936.06,10160.49,Pago em atraso
MOV-00108,2025-02-07,2025-02-27,2025-02-26,Entrada,Serviços,Comercial,Cliente 30,PIX,7309.48,7417.61,Pago
MOV-00109,2025-01-24,2025-02-28,2025-03-01,Entrada,Vendas B2B,Administrativo,Cliente 24,PIX,19064.98,19599.49,Pago
MOV-00110,2025-01-18,2025-02-18,2025-03-02,Entrada,Assinaturas,Tecnologia,Cliente 38,Cartão,3282.6,3316.64,Pago em atraso
MOV-00111,2025-01-08,2025-02-04,2025-02-06,Entrada,Serviços,Tecnologia,Cliente 40,Boleto,18630.76,18099.81,Pago
MOV-00112,2025-02-02,2025-02-15,2025-02-14,Entrada,Assinaturas,Operações,Cliente 03,PIX,13579.37,13700.96,Pago
MOV-00113,2025-01-14,2025-02-04,2025-02-01,Entrada,Vendas B2B,Administrativo,Cliente 27,Boleto,11213.8,11138.88,Pago
MOV-00114,2025-02-09,2025-02-27,2025-02-28,Entrada,Serviços,Comercial,Cliente 45,Transferência,13902.75,14268.99,Pago
MOV-00115,2025-01-18,2025-02-08,2025-02-04,Saída,Fornecedores,Administrativo,Fornecedor 42,Transferência,6785.32,6981.11,Pago
MOV-00116,2025-01-19,2025-02-04,2025-02-06,Saída,Fornecedores,Administrativo,Fornecedor 02,PIX,4706.03,4590.73,Pago
MOV-00117,2025-01-02,2025-02-05,2025-02-03,Saída,Tecnologia,Administrativo,Fornecedor 14,Boleto,4308.04,4196.53,Pago
MOV-00118,2025-02-11,2025-02-25,2025-02-20,Saída,Logística,Operações,Fornecedor 35,Transferência,4177.84,4122.01,Pago
MOV-00119,2025-01-24,2025-02-28,2025-03-01,Saída,Tecnologia,Operações,Fornecedor 38,Transferência,2661.96,2639.32,Pago
MOV-00120,2025-01-11,2025-02-05,2025-02-01,Saída,Fornecedores,Marketing,Fornecedor 24,PIX,4576.53,4643.99,Pago
MOV-00121,2025-02-14,2025-02-24,2025-02-23,Saída,Pessoal,Comercial,Fornecedor 31,Cartão,13789.66,13754.95,Pago
MOV-00122,2025-02-01,2025-02-15,2025-02-18,Saída,Pessoal,Comercial,Fornecedor 09,Transferência,14850.17,14691.67,Pago em atraso
MOV-00123,2025-01-25,2025-02-23,2025-02-22,Saída,Marketing,Marketing,Fornecedor 07,PIX,8517.94,8494.29,Pago
MOV-00124,2025-02-08,2025-02-25,2025-02-23,Saída,Logística,Marketing,Fornecedor 22,Cartão,9325.34,9286.21,Pago
MOV-00125,2025-01-11,2025-02-11,2025-02-11,Saída,Pessoal,Marketing,Fornecedor 05,PIX,10491.78,10777.32,Pago
MOV-00126,2025-01-08,2025-02-04,2025-02-04,Saída,Logística,Comercial,Fornecedor 38,Transferência,2456.32,2502.27,Pago
MOV-00127,2025-01-26,2025-02-28,2025-03-01,Saída,Marketing,Comercial,Fornecedor 19,Transferência,6367.93,6508.57,Pago
MOV-00128,2025-01-26,2025-02-22,2025-02-18,Saída,Pessoal,Tecnologia,Fornecedor 08,Transferência,9403.85,9319.28,Pago
MOV-00129,2025-01-25,2025-02-25,2025-02-20,Saída,Pessoal,Tecnologia,Fornecedor 02,Boleto,16297.19,16403.77,Pago
MOV-00130,2025-01-14,2025-02-11,2025-02-08,Saída,Fornecedores,Marketing,Fornecedor 05,Boleto,10698.6,10936.02,Pago
MOV-00131,2025-01-10,2025-02-03,2025-02-01,Saída,Tecnologia,Tecnologia,Fornecedor 11,Transferência,13277.79,13179.16,Pago
MOV-00132,2025-01-17,2025-02-20,2025-02-22,Saída,Pessoal,Administrativo,Fornecedor 04,PIX,17346.34,16987.87,Pago
MOV-00133,2025-01-13,2025-02-16,2025-02-17,Saída,Fornecedores,Administrativo,Fornecedor 08,Transferência,9461.1,9332.33,Pago
MOV-00134,2025-01-25,2025-02-16,2025-02-15,Saída,Pessoal,Administrativo,Fornecedor 04,PIX,14480.5,14085.54,Pago
MOV-00135,2025-02-12,2025-02-25,2025-02-24,Saída,Fornecedores,Comercial,Fornecedor 32,Cartão,12951.56,12787.94,Pago
MOV-00136,2025-01-21,2025-02-23,2025-02-23,Saída,Fornecedores,Comercial,Fornecedor 28,PIX,5991.02,5837.2,Pago
MOV-00137,2025-01-23,2025-02-14,2025-02-15,Saída,Pessoal,Comercial,Fornecedor 21,Boleto,10497.36,10364.79,Pago
MOV-00138,2025-02-14,2025-02-27,2025-02-27,Saída,Logística,Operações,Fornecedor 28,Cartão,8921.45,8700.98,Pago
MOV-00139,2025-01-12,2025-02-11,2025-02-08,Saída,Pessoal,Comercial,Fornecedor 34,Boleto,10466.99,10200.95,Pago
MOV-00140,2025-02-10,2025-02-24,2025-02-21,Saída,Logística,Tecnologia,Fornecedor 13,Boleto,5611.26,5522.47,Pago
MOV-00141,2025-01-24,2025-02-21,2025-03-09,Saída,Marketing,Administrativo,Fornecedor 29,Transferência,10671.57,10648.49,Pago em atraso
MOV-00142,2025-01-17,2025-02-05,2025-02-07,Saída,Logística,Tecnologia,Fornecedor 38,PIX,9033.44,9002.12,Pago
MOV-00143,2025-01-21,2025-02-02,2025-02-12,Saída,Pessoal,Administrativo,Fornecedor 39,Cartão,12117.99,11810.24,Pago em atraso
MOV-00144,2025-01-08,2025-02-02,2025-01-31,Saída,Pessoal,Administrativo,Fornecedor 10,PIX,15715.81,15547.52,Pago
MOV-00145,2025-01-22,2025-02-23,2025-03-01,Saída,Pessoal,Marketing,Fornecedor 29,Boleto,16212.41,15764.11,Pago em atraso
MOV-00146,2025-01-26,2025-02-25,2025-02-20,Saída,Pessoal,Tecnologia,Fornecedor 05,Transferência,11307.84,11504.07,Pago
MOV-00147,2025-01-13,2025-02-10,2025-02-07,Saída,Fornecedores,Operações,Fornecedor 23,Transferência,9663.6,9566.98,Pago
MOV-00148,2025-01-22,2025-02-13,2025-02-09,Saída,Administrativo,Tecnologia,Fornecedor 09,PIX,9911.18,9797.94,Pago
MOV-00149,2025-01-27,2025-02-12,2025-02-22,Saída,Marketing,Tecnologia,Fornecedor 32,Boleto,6523.1,6397.96,Pago em atraso
MOV-00150,2025-01-07,2025-02-03,2025-01-30,Saída,Fornecedores,Administrativo,Fornecedor 03,Transferência,3002.39,3003.78,Pago
MOV-00151,2025-01-19,2025-02-20,2025-02-17,Saída,Logística,Administrativo,Fornecedor 11,Cartão,8920.29,8749.47,Pago
MOV-00152,2025-01-21,2025-02-24,2025-02-26,Saída,Fornecedores,Marketing,Fornecedor 15,Boleto,5795.08,5833.53,Pago
MOV-00153,2025-02-08,2025-02-27,2025-03-01,Saída,Pessoal,Marketing,Fornecedor 33,Cartão,12197.27,12169.23,Pago
MOV-00154,2025-02-01,2025-02-26,2025-02-25,Saída,Administrativo,Tecnologia,Fornecedor 36,PIX,11369.65,11064.16,Pago
MOV-00155,2025-01-09,2025-02-04,2025-02-01,Saída,Tecnologia,Operações,Fornecedor 28,PIX,7662.46,7558.0,Pago
MOV-00156,2025-01-24,2025-02-15,2025-02-10,Saída,Administrativo,Administrativo,Fornecedor 24,Boleto,4042.84,4022.2,Pago
MOV-00157,2025-01-28,2025-02-11,2025-02-11,Saída,Pessoal,Comercial,Fornecedor 19,Cartão,9532.47,9699.12,Pago
MOV-00158,2025-02-13,2025-02-23,2025-02-18,Saída,Marketing,Tecnologia,Fornecedor 14,Boleto,3017.51,3090.99,Pago
MOV-00159,2025-01-24,2025-02-04,2025-02-02,Saída,Pessoal,Operações,Fornecedor 27,Cartão,12837.71,12684.54,Pago
MOV-00160,2025-01-19,2025-02-16,2025-02-11,Saída,Fornecedores,Operações,Fornecedor 10,Transferência,11613.48,11705.43,Pago
MOV-00161,2025-02-24,2025-03-08,2025-03-05,Entrada,Vendas B2B,Administrativo,Cliente 24,PIX,14038.34,14176.79,Pago
MOV-00162,2025-03-01,2025-03-26,2025-03-21,Entrada,Serviços,Comercial,Cliente 41,Cartão,12795.7,12711.6,Pago
MOV-00163,2025-01-27,2025-03-01,2025-02-25,Entrada,Serviços,Comercial,Cliente 38,Transferência,7692.97,7621.33,Pago
MOV-00164,2025-02-08,2025-03-11,2025-03-08,Entrada,Vendas B2B,Marketing,Cliente 45,Cartão,9426.18,9613.04,Pago
MOV-00165,2025-02-15,2025-03-03,2025-03-05,Entrada,Assinaturas,Comercial,Cliente 13,PIX,17494.04,17008.04,Pago
MOV-00166,2025-02-07,2025-03-13,2025-03-15,Entrada,Vendas B2B,Operações,Cliente 19,Transferência,8684.34,8555.8,Pago
MOV-00167,2025-02-26,2025-03-21,2025-03-17,Entrada,Serviços,Marketing,Cliente 29,Cartão,4076.37,4149.58,Pago
MOV-00168,2025-02-18,2025-03-23,2025-03-22,Entrada,Vendas B2B,Marketing,Cliente 06,Cartão,6518.75,6636.54,Pago
MOV-00169,2025-02-15,2025-03-18,2025-03-14,Entrada,Assinaturas,Tecnologia,Cliente 20,Cartão,17684.56,17238.98,Pago
MOV-00170,2025-03-02,2025-03-23,2025-03-25,Entrada,Assinaturas,Administrativo,Cliente 28,Transferência,10723.1,10428.66,Pago
MOV-00171,2025-01-26,2025-03-02,2025-03-15,Entrada,Assinaturas,Operações,Cliente 02,Boleto,17142.3,17001.71,Pago em atraso
MOV-00172,2025-02-13,2025-03-15,2025-03-18,Entrada,Serviços,Tecnologia,Cliente 24,Cartão,15150.12,14910.14,Pago em atraso
MOV-00173,2025-01-30,2025-03-05,2025-03-05,Entrada,Serviços,Comercial,Cliente 37,Boleto,3805.47,3776.25,Pago
MOV-00174,2025-03-06,2025-03-21,2025-03-17,Entrada,Assinaturas,Marketing,Cliente 34,Cartão,10229.71,9938.72,Pago
MOV-00175,2025-02-24,2025-03-25,2025-03-27,Entrada,Serviços,Tecnologia,Cliente 45,Cartão,5305.47,5214.61,Pago
MOV-00176,2025-01-27,2025-03-03,2025-03-05,Entrada,Vendas B2B,Tecnologia,Cliente 43,Transferência,5621.15,5788.86,Pago
MOV-00177,2025-02-06,2025-03-10,2025-03-07,Entrada,Assinaturas,Operações,Cliente 24,Boleto,12899.62,13063.56,Pago
MOV-00178,2025-02-06,2025-03-05,2025-03-07,Entrada,Vendas B2B,Administrativo,Cliente 24,Cartão,6767.59,6575.24,Pago
MOV-00179,2025-02-16,2025-03-20,2025-03-16,Entrada,Assinaturas,Marketing,Cliente 34,Cartão,12928.61,12780.67,Pago
MOV-00180,2025-02-07,2025-03-03,2025-03-14,Entrada,Assinaturas,Marketing,Cliente 44,Transferência,17702.09,17853.27,Pago em atraso
MOV-00181,2025-03-04,2025-03-18,2025-03-15,Entrada,Vendas B2B,Marketing,Cliente 33,PIX,17802.49,18088.52,Pago
MOV-00182,2025-02-21,2025-03-10,2025-03-10,Entrada,Serviços,Tecnologia,Cliente 34,Transferência,12339.24,12661.1,Pago
MOV-00183,2025-03-02,2025-03-21,2025-03-20,Entrada,Serviços,Administrativo,Cliente 35,PIX,7639.47,7467.66,Pago
MOV-00184,2025-02-19,2025-03-19,2025-03-30,Entrada,Vendas B2B,Comercial,Cliente 02,PIX,6199.32,6326.73,Pago em atraso
MOV-00185,2025-02-24,2025-03-19,2025-03-17,Entrada,Vendas B2B,Administrativo,Cliente 41,PIX,14506.46,14738.82,Pago
MOV-00186,2025-02-03,2025-03-10,2025-03-09,Entrada,Vendas B2B,Marketing,Cliente 20,Cartão,14255.4,14240.81,Pago
MOV-00187,2025-02-14,2025-03-15,2025-03-17,Entrada,Vendas B2B,Operações,Cliente 21,Transferência,4289.12,4212.95,Pago
MOV-00188,2025-02-28,2025-03-13,2025-03-25,Entrada,Assinaturas,Tecnologia,Cliente 16,Cartão,18359.86,18376.36,Pago em atraso
MOV-00189,2025-02-04,2025-03-05,2025-03-15,Entrada,Vendas B2B,Marketing,Cliente 16,Boleto,11135.63,11433.21,Pago em atraso
MOV-00190,2025-02-26,2025-03-24,2025-03-21,Entrada,Assinaturas,Marketing,Cliente 32,Transferência,19641.97,19639.93,Pago
MOV-00191,2025-02-20,2025-03-13,2025-03-11,Entrada,Vendas B2B,Comercial,Cliente 04,Transferência,4818.59,4736.23,Pago
MOV-00192,2025-03-08,2025-03-21,2025-03-20,Entrada,Vendas B2B,Marketing,Cliente 09,Transferência,18738.69,18779.94,Pago
MOV-00193,2025-02-24,2025-03-12,2025-03-14,Entrada,Assinaturas,Tecnologia,Cliente 36,Transferência,16657.02,16727.26,Pago
