Data,Lote,Produto,Linha,PlanejadoKg,ProduzidoKg,PerdaKg,RendimentoPct,LeadTimeHoras,Risco
2026-07-01,LT-2026040,Produto G,Linha 3,1104,836,25.5,75.72,28.9,Alto
2026-06-23,LT-2026041,Produto B,Linha 4,1329,1192,21.9,89.69,29.6,Baixo
2026-07-05,LT-2026042,Produto E,Linha 1,961,971,0.0,101.04,19.8,Alto
2026-01-24,LT-2026043,Produto B,Linha 3,1397,1378,5.1,98.64,45.5,Baixo
2026-01-16,LT-2026044,Produto B,Linha 4,1444,1451,0.0,100.48,34.8,Baixo
2026-02-18,LT-2026045,Produto F,Linha 2,1444,1437,1.3,99.52,52.4,Alto
2026-05-23,LT-2026046,Produto A,Linha 1,1020,979,3.3,95.98,26.2,Baixo
2026-02-15,LT-2026047,Produto D,Linha 1,1179,1005,50.8,85.24,15.8,Baixo
2026-08-09,LT-2026048,Produto B,Linha 3,1222,1165,11.3,95.34,48.2,Baixo
2026-08-10,LT-2026049,Produto A,Linha 4,1074,824,55.3,76.72,11.9,Baixo
2026-05-24,LT-2026050,Produto C,Linha 4,1492,1458,6.7,97.72,23.6,Baixo
2026-07-11,LT-2026051,Produto A,Linha 2,1422,1246,37.6,87.62,26.6,Baixo
2026-03-14,LT-2026052,Produto F,Linha 3,1365,1351,2.3,98.97,18.1,Alto
2026-05-21,LT-2026053,Produto G,Linha 4,1211,1056,24.3,87.2,18.2,Alto
2026-01-17,LT-2026054,Produto G,Linha 2,880,943,0.0,107.16,47.2,Baixo
2026-04-29,LT-2026055,Produto A,Linha 2,1454,1340,17.1,92.16,11.3,Baixo
2026-02-22,LT-2026056,Produto H,Linha 3,778,714,18.3,91.77,25.3,Médio
2026-05-01,LT-2026057,Produto C,Linha 3,876,942,0.0,107.53,11.3,Baixo
2026-04-11,LT-2026058,Produto H,Linha 2,1305,1090,26.9,83.52,42.2,Baixo
2026-03-09,LT-2026059,Produto D,Linha 1,785,816,0.0,103.95,31.0,Baixo
2026-04-16,LT-2026060,Produto G,Linha 2,819,846,0.0,103.3,12.2,Alto
2026-06-22,LT-2026061,Produto B,Linha 4,1309,1283,5.6,98.01,28.4,Baixo
2026-05-22,LT-2026062,Produto D,Linha 1,957,1021,0.0,106.69,38.6,Médio
2026-04-17,LT-2026063,Produto E,Linha 2,1208,985,51.5,81.54,28.4,Médio
2026-07-12,LT-2026064,Produto G,Linha 2,1394,1067,28.2,76.54,18.8,Baixo
2026-05-08,LT-2026065,Produto A,Linha 4,1305,1333,0.0,102.15,21.3,Alto
2026-08-11,LT-2026066,Produto C,Linha 4,1200,1063,16.6,88.58,9.6,Baixo
2026-08-10,LT-2026067,Produto H,Linha 1,1171,1072,18.5,91.55,47.1,Alto
2026-05-14,LT-2026068,Produto A,Linha 2,1316,1172,41.3,89.06,11.3,Baixo
2026-02-26,LT-2026069,Produto B,Linha 1,949,766,57.5,80.72,11.8,Baixo
2026-05-12,LT-2026070,Produto A,Linha 2,933,811,15.3,86.92,20.2,Baixo
2026-06-29,LT-2026071,Produto C,Linha 1,736,762,0.0,103.53,45.4,Médio
2026-07-05,LT-2026072,Produto F,Linha 3,1346,1201,20.2,89.23,38.9,Médio
2026-05-30,LT-2026073,Produto E,Linha 4,1451,1107,41.4,76.29,28.8,Baixo
2026-04-25,LT-2026074,Produto B,Linha 3,1373,1325,7.0,96.5,34.3,Baixo
2026-07-15,LT-2026075,Produto E,Linha 2,1209,1134,23.2,93.8,14.9,Baixo
2026-05-29,LT-2026076,Produto E,Linha 4,1112,948,50.9,85.25,25.1,Alto
2026-04-19,LT-2026077,Produto G,Linha 1,1099,974,36.1,88.63,43.7,Baixo
2026-04-20,LT-2026078,Produto G,Linha 3,954,1003,0.0,105.14,16.6,Médio
2026-06-04,LT-2026079,Produto A,Linha 1,1204,1250,0.0,103.82,35.2,Baixo
2026-03-28,LT-2026080,Produto A,Linha 1,735,718,1.5,97.69,43.3,Baixo
2026-04-14,LT-2026081,Produto A,Linha 1,1369,1222,28.9,89.26,18.5,Alto
2026-08-25,LT-2026082,Produto A,Linha 1,1366,1057,46.2,77.38,11.1,Baixo
2026-02-10,LT-2026083,Produto C,Linha 1,882,775,13.2,87.87,43.8,Médio
2026-02-28,LT-2026084,Produto F,Linha 2,1070,962,31.2,89.91,29.7,Médio
2026-02-27,LT-2026085,Produto C,Linha 4,1236,1226,1.5,99.19,14.4,Alto
2026-06-04,LT-2026086,Produto E,Linha 3,1249,1198,14.1,95.92,40.9,Baixo
2026-07-17,LT-2026087,Produto A,Linha 4,981,871,35.0,88.79,24.0,Baixo
2026-03-29,LT-2026088,Produto D,Linha 1,1031,1097,0.0,106.4,52.3,Baixo
2026-04-17,LT-2026089,Produto B,Linha 4,1000,991,1.1,99.1,16.9,Médio
2026-06-25,LT-2026090,Produto E,Linha 2,800,666,41.1,83.25,9.6,Baixo
2026-03-17,LT-2026091,Produto F,Linha 2,1162,1090,12.8,93.8,38.8,Baixo
2026-01-19,LT-2026092,Produto C,Linha 1,1336,1322,4.1,98.95,11.1,Baixo
2026-04-22,LT-2026093,Produto E,Linha 1,878,745,38.8,84.85,15.8,Médio
2026-06-10,LT-2026094,Produto F,Linha 1,1088,941,36.3,86.49,54.2,Baixo
2026-02-23,LT-2026095,Produto B,Linha 2,1407,1490,0.0,105.9,25.9,Baixo
2026-04-10,LT-2026096,Produto H,Linha 2,1111,893,24.0,80.38,41.5,Baixo
2026-03-23,LT-2026097,Produto D,Linha 3,736,574,47.8,77.99,53.3,Médio
2026-03-03,LT-2026098,Produto F,Linha 1,923,774,35.3,83.86,32.7,Baixo
2026-08-03,LT-2026099,Produto D,Linha 4,1476,1583,0.0,107.25,41.3,Médio
2026-02-27,LT-2026100,Produto E,Linha 2,810,634,42.6,78.27,54.4,Médio
2026-08-25,LT-2026101,Produto C,Linha 4,1455,1096,49.3,75.33,17.4,Médio
2026-01-29,LT-2026102,Produto E,Linha 3,1045,1055,0.0,100.96,36.5,Baixo
2026-05-19,LT-2026103,Produto A,Linha 3,1265,983,36.9,77.71,18.7,Médio
2026-02-14,LT-2026104,Produto G,Linha 4,1161,1035,25.3,89.15,51.3,Baixo
2026-02-24,LT-2026105,Produto C,Linha 3,1438,1192,20.0,82.89,53.5,Baixo
2026-03-01,LT-2026106,Produto G,Linha 4,764,787,0.0,103.01,40.0,Baixo
2026-04-25,LT-2026107,Produto A,Linha 2,1274,967,94.4,75.9,25.1,Alto
2026-02-12,LT-2026108,Produto F,Linha 1,1094,1029,9.6,94.06,11.5,Baixo
2026-07-19,LT-2026109,Produto D,Linha 4,934,844,15.7,90.36,26.3,Alto
2026-03-01,LT-2026110,Produto G,Linha 2,812,673,35.0,82.88,27.3,Médio
2026-08-13,LT-2026111,Produto F,Linha 1,875,861,1.7,98.4,21.9,Baixo
2026-05-25,LT-2026112,Produto E,Linha 2,1438,1301,29.3,90.47,21.0,Médio
2026-08-01,LT-2026113,Produto H,Linha 1,751,589,27.8,78.43,27.2,Baixo
2026-06-20,LT-2026114,Produto G,Linha 2,820,761,9.3,92.8,30.5,Baixo
2026-03-10,LT-2026115,Produto G,Linha 4,1336,1236,8.6,92.51,14.0,Baixo
2026-02-21,LT-2026116,Produto C,Linha 3,798,722,23.6,90.48,50.7,Baixo
2026-06-07,LT-2026117,Produto H,Linha 1,1445,1339,27.4,92.66,43.6,Alto
2026-07-25,LT-2026118,Produto F,Linha 4,1250,1185,15.9,94.8,29.1,Alto
2026-01-24,LT-2026119,Produto H,Linha 1,782,772,2.5,98.72,22.2,Baixo
2026-05-20,LT-2026120,Produto C,Linha 2,1105,868,33.9,78.55,12.0,Baixo
2026-01-13,LT-2026121,Produto B,Linha 4,1217,959,66.5,78.8,47.3,Alto
2026-06-13,LT-2026122,Produto D,Linha 2,1412,1415,0.0,100.21,24.2,Médio
2026-04-15,LT-2026123,Produto H,Linha 4,818,700,34.6,85.57,22.9,Médio
2026-02-13,LT-2026124,Produto H,Linha 3,799,744,14.0,93.12,16.8,Baixo
2026-08-26,LT-2026125,Produto H,Linha 2,1409,1460,0.0,103.62,53.3,Baixo
2026-01-19,LT-2026126,Produto A,Linha 3,1421,1396,3.8,98.24,54.5,Baixo
2026-01-19,LT-2026127,Produto D,Linha 2,1460,1539,0.0,105.41,45.2,Alto
2026-08-01,LT-2026128,Produto G,Linha 2,1289,1018,85.3,78.98,20.9,Baixo
2026-01-23,LT-2026129,Produto A,Linha 1,1167,893,76.0,76.52,14.7,Médio
2026-04-28,LT-2026130,Produto G,Linha 3,1324,1414,0.0,106.8,35.6,Alto
2026-06-27,LT-2026131,Produto G,Linha 4,1422,1195,71.6,84.04,32.1,Médio
2026-08-17,LT-2026132,Produto B,Linha 2,1399,1374,3.4,98.21,50.0,Baixo
2026-05-20,LT-2026133,Produto D,Linha 3,1206,973,65.0,80.68,10.4,Baixo
2026-03-19,LT-2026134,Produto G,Linha 3,1136,1207,0.0,106.25,8.2,Alto
2026-03-15,LT-2026135,Produto C,Linha 2,985,799,37.2,81.12,41.7,Alto
2026-01-09,LT-2026136,Produto D,Linha 2,1094,1037,14.4,94.79,36.6,Baixo
2026-01-15,LT-2026137,Produto D,Linha 3,712,625,8.9,87.78,21.5,Médio
2026-08-22,LT-2026138,Produto E,Linha 3,759,665,15.8,87.62,31.0,Baixo
2026-08-10,LT-2026139,Produto F,Linha 4,1474,1380,29.4,93.62,54.1,Alto
2026-03-01,LT-2026140,Produto D,Linha 1,860,746,21.1,86.74,25.8,Médio
2026-05-28,LT-2026141,Produto C,Linha 3,732,595,30.2,81.28,23.3,Alto
2026-05-17,LT-2026142,Produto H,Linha 3,827,852,0.0,103.02,50.2,Médio
2026-02-17,LT-2026143,Produto D,Linha 1,1221,1219,0.2,99.84,24.0,Alto
2026-04-21,LT-2026144,Produto E,Linha 1,1211,1064,45.0,87.86,52.6,Baixo
2026-01-30,LT-2026145,Produto F,Linha 2,1247,1078,19.0,86.45,19.9,Médio
2026-03-01,LT-2026146,Produto E,Linha 4,1020,772,70.8,75.69,37.7,Baixo
2026-02-21,LT-2026147,Produto G,Linha 3,1400,1093,56.3,78.07,40.8,Alto
2026-02-11,LT-2026148,Produto B,Linha 4,992,1025,0.0,103.33,30.8,Alto
2026-06-26,LT-2026149,Produto D,Linha 4,1319,1113,50.9,84.38,13.1,Alto
2026-05-24,LT-2026150,Produto C,Linha 2,1069,960,30.2,89.8,36.2,Alto
2026-04-10,LT-2026151,Produto C,Linha 2,840,862,0.0,102.62,45.5,Alto
2026-02-02,LT-2026152,Produto B,Linha 1,1410,1477,0.0,104.75,8.2,Alto
2026-03-18,LT-2026153,Produto A,Linha 1,1067,1069,0.0,100.19,26.8,Médio
2026-07-27,LT-2026154,Produto B,Linha 4,1286,1294,0.0,100.62,11.4,Baixo
2026-01-22,LT-2026155,Produto B,Linha 4,912,772,25.6,84.65,46.0,Baixo
2026-07-04,LT-2026156,Produto D,Linha 1,1154,988,52.0,85.62,33.2,Baixo
2026-07-05,LT-2026157,Produto G,Linha 2,856,685,15.8,80.02,24.8,Baixo
2026-04-22,LT-2026158,Produto B,Linha 2,1035,996,8.7,96.23,37.6,Médio
2026-03-17,LT-2026159,Produto E,Linha 3,1042,887,14.9,85.12,22.3,Baixo
2026-03-08,LT-2026160,Produto C,Linha 4,1425,1119,67.2,78.53,13.2,Médio
2026-02-03,LT-2026161,Produto E,Linha 1,818,751,15.6,91.81,35.8,Baixo
2026-07-23,LT-2026162,Produto B,Linha 3,1156,1079,15.8,93.34,39.4,Baixo
2026-04-24,LT-2026163,Produto E,Linha 3,1500,1372,33.5,91.47,39.1,Baixo
2026-04-25,LT-2026164,Produto H,Linha 4,1344,1092,31.2,81.25,44.9,Alto
2026-01-28,LT-2026165,Produto B,Linha 2,1205,1140,18.1,94.61,21.8,Baixo
2026-07-09,LT-2026166,Produto E,Linha 2,840,760,12.7,90.48,21.7,Baixo
2026-05-08,LT-2026167,Produto E,Linha 4,1191,1072,29.6,90.01,50.5,Baixo
2026-06-18,LT-2026168,Produto C,Linha 4,1211,1088,23.9,89.84,48.6,Alto
2026-07-26,LT-2026169,Produto E,Linha 3,1110,1027,8.4,92.52,24.9,Baixo
2026-02-24,LT-2026170,Produto F,Linha 3,905,695,26.2,76.8,53.2,Alto
2026-03-12,LT-2026171,Produto F,Linha 4,1186,1225,0.0,103.29,23.8,Baixo
2026-04-26,LT-2026172,Produto F,Linha 2,1166,979,54.6,83.96,15.5,Alto
2026-03-20,LT-2026173,Produto A,Linha 1,961,808,32.3,84.08,53.0,Baixo
2026-07-23,LT-2026174,Produto H,Linha 1,955,1002,0.0,104.92,27.1,Médio
2026-06-25,LT-2026175,Produto A,Linha 1,938,722,54.9,76.97,42.9,Baixo
2026-06-05,LT-2026176,Produto F,Linha 2,1461,1507,0.0,103.15,43.1,Baixo
2026-03-07,LT-2026177,Produto A,Linha 4,943,1002,0.0,106.26,40.5,Baixo
2026-02-10,LT-2026178,Produto A,Linha 3,996,787,46.0,79.02,48.0,Baixo
2026-01-14,LT-2026179,Produto F,Linha 3,1227,1175,12.2,95.76,26.5,Baixo
2026-03-13,LT-2026180,Produto F,Linha 4,1427,1351,10.8,94.67,18.0,Baixo
2026-03-29,LT-2026181,Produto H,Linha 4,1422,1388,3.4,97.61,8.6,Baixo
2026-08-22,LT-2026182,Produto B,Linha 1,1257,1141,26.3,90.77,12.3,Médio
2026-07-01,LT-2026183,Produto B,Linha 2,1173,1089,16.5,92.84,42.6,Médio
2026-03-05,LT-2026184,Produto A,Linha 1,1263,1092,50.5,86.46,38.8,Alto
2026-04-03,LT-2026185,Produto G,Linha 2,798,619,22.1,77.57,15.3,Baixo
2026-04-21,LT-2026186,Produto D,Linha 2,918,913,1.5,99.46,28.9,Baixo
2026-04-22,LT-2026187,Produto H,Linha 2,1037,1061,0.0,102.31,9.3,Baixo
2026-08-12,LT-2026188,Produto B,Linha 2,1441,1433,2.0,99.44,38.9,Médio
2026-07-17,LT-2026189,Produto E,Linha 3,1246,1273,0.0,102.17,13.9,Alto
2026-05-30,LT-2026190,Produto G,Linha 4,913,831,16.3,91.02,16.5,Baixo
2026-05-26,LT-2026191,Produto B,Linha 1,884,876,1.8,99.1,21.4,Médio
2026-07-11,LT-2026192,Produto D,Linha 4,1098,1000,26.1,91.07,10.9,Alto
2026-05-13,LT-2026193,Produto D,Linha 4,1338,1406,0.0,105.08,54.6,Baixo
2026-01-19,LT-2026194,Produto A,Linha 3,777,832,0.0,107.08,19.7,Baixo
2026-05-06,LT-2026195,Produto E,Linha 1,817,668,21.3,81.76,36.7,Alto
2026-07-27,LT-2026196,Produto D,Linha 4,824,723,16.9,87.74,11.0,Baixo
2026-07-05,LT-2026197,Produto D,Linha 2,1057,972,26.6,91.96,45.4,Baixo
2026-03-18,LT-2026198,Produto C,Linha 2,1120,943,26.8,84.2,33.4,Baixo
2026-02-01,LT-2026199,Produto D,Linha 3,1244,1252,0.0,100.64,43.3,Baixo
2026-07-17,LT-2026200,Produto D,Linha 1,1115,1138,0.0,102.06,18.2,Médio
2026-01-03,LT-2026201,Produto A,Linha 2,726,565,47.6,77.82,31.0,Baixo
2026-01-21,LT-2026202,Produto E,Linha 2,1244,1130,11.7,90.84,35.0,Alto
2026-01-10,LT-2026203,Produto H,Linha 2,750,773,0.0,103.07,22.1,Baixo
2026-04-23,LT-2026204,Produto D,Linha 4,1484,1558,0.0,104.99,49.9,Baixo
2026-06-29,LT-2026205,Produto A,Linha 2,879,921,0.0,104.78,21.6,Alto
2026-04-03,LT-2026206,Produto C,Linha 2,1231,1061,30.3,86.19,40.8,Médio
2026-04-16,LT-2026207,Produto A,Linha 2,900,828,11.5,92.0,54.6,Baixo
2026-01-25,LT-2026208,Produto G,Linha 1,1434,1174,64.9,81.87,48.7,Baixo
2026-03-23,LT-2026209,Produto A,Linha 3,1350,1195,31.2,88.52,13.2,Médio
2026-03-08,LT-2026210,Produto F,Linha 2,1449,1460,0.0,100.76,23.4,Baixo
2026-07-22,LT-2026211,Produto H,Linha 4,1437,1283,45.4,89.28,36.3,Alto
2026-06-07,LT-2026212,Produto A,Linha 1,821,843,0.0,102.68,37.5,Baixo
2026-02-10,LT-2026213,Produto B,Linha 2,1424,1510,0.0,106.04,51.6,Alto
2026-04-04,LT-2026214,Produto B,Linha 3,1000,830,36.0,83.0,19.2,Baixo
2026-05-05,LT-2026215,Produto D,Linha 3,805,850,0.0,105.59,51.9,Médio
2026-05-17,LT-2026216,Produto B,Linha 3,1354,1392,0.0,102.81,54.2,Médio
2026-08-12,LT-2026217,Produto B,Linha 3,1428,1224,46.6,85.71,14.3,Baixo
2026-01-12,LT-2026218,Produto D,Linha 4,1290,1284,1.7,99.53,23.0,Médio
2026-02-26,LT-2026219,Produto G,Linha 2,1062,1092,0.0,102.82,40.0,Alto
2026-06-04,LT-2026220,Produto C,Linha 3,969,962,1.6,99.28,44.1,Baixo
2026-04-25,LT-2026221,Produto A,Linha 3,1227,1014,41.9,82.64,39.5,Baixo
2026-01-12,LT-2026222,Produto H,Linha 3,1299,1083,41.9,83.37,32.8,Baixo
2026-08-05,LT-2026223,Produto A,Linha 2,737,574,50.1,77.88,41.8,Médio
2026-03-30,LT-2026224,Produto G,Linha 1,777,635,35.0,81.72,47.4,Baixo
2026-08-22,LT-2026225,Produto A,Linha 4,1222,1192,3.1,97.55,19.6,Médio
2026-08-19,LT-2026226,Produto H,Linha 3,912,874,6.7,95.83,42.2,Baixo
2026-01-15,LT-2026227,Produto H,Linha 1,866,927,0.0,107.04,33.4,Alto
2026-06-13,LT-2026228,Produto D,Linha 1,958,951,1.9,99.27,22.1,Médio
2026-08-08,LT-2026229,Produto B,Linha 4,922,849,18.9,92.08,27.7,Alto
2026-04-25,LT-2026230,Produto E,Linha 1,1276,1075,20.6,84.25,25.3,Alto
2026-04-11,LT-2026231,Produto H,Linha 4,1045,887,42.4,84.88,26.2,Alto
2026-08-18,LT-2026232,Produto B,Linha 4,828,827,0.3,99.88,32.3,Alto
2026-04-06,LT-2026233,Produto H,Linha 1,1295,1022,70.2,78.92,11.9,Médio
2026-04-10,LT-2026234,Produto G,Linha 3,918,957,0.0,104.25,54.1,Médio
2026-06-30,LT-2026235,Produto E,Linha 4,1238,1081,22.5,87.32,11.8,Baixo
2026-07-24,LT-2026236,Produto B,Linha 2,1082,1121,0.0,103.6,10.5,Baixo
2026-02-26,LT-2026237,Produto G,Linha 3,1263,974,49.7,77.12,33.4,Baixo
2026-03-07,LT-2026238,Produto G,Linha 3,1128,1194,0.0,105.85,25.8,Baixo
2026-06-04,LT-2026239,Produto A,Linha 4,830,714,18.9,86.02,38.6,Baixo
2026-03-24,LT-2026240,Produto B,Linha 2,1229,1188,7.3,96.66,16.9,Baixo
2026-07-06,LT-2026241,Produto C,Linha 1,1150,1197,0.0,104.09,15.5,Médio
2026-02-21,LT-2026242,Produto D,Linha 4,1390,1406,0.0,101.15,42.3,Alto
2026-08-28,LT-2026243,Produto H,Linha 4,1157,980,48.0,84.7,38.5,Alto
2026-01-29,LT-2026244,Produto G,Linha 4,1288,1270,4.5,98.6,52.8,Baixo
2026-06-04,LT-2026245,Produto G,Linha 4,1317,1231,14.6,93.47,43.3,Baixo
2026-01-29,LT-2026246,Produto D,Linha 4,1241,992,48.4,79.94,36.3,Médio
2026-01-16,LT-2026247,Produto B,Linha 1,1190,1016,40.6,85.38,8.9,Baixo
2026-04-09,LT-2026248,Produto B,Linha 3,1295,1338,0.0,103.32,50.6,Médio
2026-07-24,LT-2026249,Produto H,Linha 2,1312,1009,47.6,76.91,26.9,Médio
2026-01-05,LT-2026250,Produto G,Linha 2,1062,1047,2.0,98.59,39.3,Baixo
2026-05-03,LT-2026251,Produto C,Linha 4,1213,1057,25.2,87.14,20.6,Médio
2026-07-26,LT-2026252,Produto D,Linha 1,1084,909,50.7,83.86,34.7,Médio
2026-06-22,LT-2026253,Produto A,Linha 1,1484,1551,0.0,104.51,33.9,Baixo
2026-01-28,LT-2026254,Produto E,Linha 3,939,788,47.9,83.92,24.1,Baixo
2026-08-05,LT-2026255,Produto F,Linha 1,734,708,5.3,96.46,21.7,Médio
2026-03-29,LT-2026256,Produto E,Linha 1,794,690,14.0,86.9,14.3,Baixo
2026-06-24,LT-2026257,Produto B,Linha 2,1490,1477,3.5,99.13,26.0,Alto
2026-03-10,LT-2026258,Produto E,Linha 3,1177,1175,0.5,99.83,9.6,Alto
2026-05-24,LT-2026259,Produto H,Linha 4,866,650,36.2,75.06,53.4,Alto
2026-06-24,LT-2026260,Produto C,Linha 4,1189,1144,7.2,96.22,14.3,Baixo
2026-03-27,LT-2026261,Produto D,Linha 1,1088,951,25.2,87.41,45.1,Alto
2026-07-24,LT-2026262,Produto G,Linha 1,1195,1086,26.7,90.88,31.7,Alto
2026-05-14,LT-2026263,Produto E,Linha 1,982,807,40.8,82.18,35.7,Baixo
2026-05-14,LT-2026264,Produto F,Linha 4,1157,893,38.0,77.18,14.1,Médio
2026-07-11,LT-2026265,Produto A,Linha 4,1122,846,34.1,75.4,16.9,Baixo
2026-06-25,LT-2026266,Produto C,Linha 1,833,757,21.7,90.88,22.7,Baixo
2026-03-04,LT-2026267,Produto F,Linha 4,1345,1166,36.2,86.69,41.4,Baixo
2026-03-09,LT-2026268,Produto G,Linha 4,707,539,44.3,76.24,25.5,Médio
2026-01-08,LT-2026269,Produto C,Linha 3,766,717,10.0,93.6,15.2,Alto
2026-05-08,LT-2026270,Produto F,Linha 1,1197,921,84.1,76.94,14.2,Baixo
2026-02-16,LT-2026271,Produto H,Linha 4,1208,1018,17.8,84.27,12.5,Médio
2026-08-26,LT-2026272,Produto D,Linha 2,1000,1030,0.0,103.0,24.8,Baixo
2026-04-22,LT-2026273,Produto E,Linha 2,1237,1160,16.3,93.78,31.1,Baixo
2026-03-04,LT-2026274,Produto A,Linha 4,1268,1032,57.7,81.39,33.2,Baixo
2026-01-04,LT-2026275,Produto G,Linha 2,996,883,24.0,88.65,36.2,Baixo
2026-02-16,LT-2026276,Produto B,Linha 1,1325,1143,51.5,86.26,37.9,Baixo
2026-01-13,LT-2026277,Produto F,Linha 4,1248,1286,0.0,103.04,54.2,Alto
2026-03-29,LT-2026278,Produto C,Linha 3,717,647,7.1,90.24,16.5,Médio
2026-06-04,LT-2026279,Produto H,Linha 2,1248,953,58.3,76.36,12.1,Baixo
2026-05-19,LT-2026280,Produto B,Linha 4,1307,1397,0.0,106.89,33.2,Baixo
2026-05-26,LT-2026281,Produto E,Linha 4,888,946,0.0,106.53,50.7,Baixo
2026-04-02,LT-2026282,Produto A,Linha 2,1177,1125,9.4,95.58,35.8,Baixo
2026-02-17,LT-2026283,Produto D,Linha 4,1332,1316,2.1,98.8,31.0,Alto
2026-07-25,LT-2026284,Produto A,Linha 2,1254,982,26.6,78.31,37.0,Baixo
2026-03-24,LT-2026285,Produto C,Linha 2,1162,943,37.9,81.15,48.6,Baixo
2026-03-12,LT-2026286,Produto H,Linha 2,897,938,0.0,104.57,21.8,Médio
2026-07-03,LT-2026287,Produto H,Linha 3,1179,1130,7.1,95.84,53.7,Baixo
2026-03-13,LT-2026288,Produto B,Linha 3,1256,1107,13.5,88.14,19.8,Baixo
2026-07-11,LT-2026289,Produto F,Linha 3,1183,1151,6.0,97.3,49.1,Médio
2026-03-11,LT-2026290,Produto G,Linha 3,812,805,0.6,99.14,52.1,Baixo
2026-04-09,LT-2026291,Produto C,Linha 2,1438,1135,88.8,78.93,28.4,Médio
2026-05-20,LT-2026292,Produto A,Linha 3,880,797,11.1,90.57,32.3,Baixo
2026-06-17,LT-2026293,Produto F,Linha 1,1115,1029,22.8,92.29,25.4,Alto
2026-01-27,LT-2026294,Produto B,Linha 1,709,646,16.6,91.11,49.8,Médio
2026-04-05,LT-2026295,Produto F,Linha 4,918,835,22.3,90.96,8.7,Baixo
2026-03-28,LT-2026296,Produto D,Linha 4,890,838,13.7,94.16,42.9,Alto
2026-01-11,LT-2026297,Produto E,Linha 1,1085,839,60.8,77.33,49.7,Baixo
